District Names,State UT
Nicobars,Andaman & Nicobar Islands
North & Middle Andaman ,Andaman & Nicobar Islands
South Andaman ,Andaman & Nicobar Islands
Srikakulam ,Andhra Pradesh
Vizianagaram ,Andhra Pradesh
Visakhapatnam ,Andhra Pradesh
East Godavari ,Andhra Pradesh
West Godavari ,Andhra Pradesh
Krishna ,Andhra Pradesh
Guntur ,Andhra Pradesh
Prakasam ,Andhra Pradesh
Sri Potti Sriramulu Nello ,Andhra Pradesh
Y.S.R. ,Andhra Pradesh
Kurnool ,Andhra Pradesh
Anantapur ,Andhra Pradesh
Chittoor ,Andhra Pradesh
Tawang ,Arunachal Pradesh
West Kameng ,Arunachal Pradesh
East Kameng ,Arunachal Pradesh
Papum Pare ,Arunachal Pradesh
Upper Subansiri ,Arunachal Pradesh
Upper Siang ,Arunachal Pradesh
Changlang ,Arunachal Pradesh
Lower Subansiri ,Arunachal Pradesh
Dibang Valley ,Arunachal Pradesh
Lower Dibang Valley ,Arunachal Pradesh
Anjaw ,Arunachal Pradesh
East Siang ,Arunachal Pradesh
Kra Daadi ,Arunachal Pradesh
Kurung Kumey ,Arunachal Pradesh
Lohit ,Arunachal Pradesh
Longding ,Arunachal Pradesh
Namsai ,Arunachal Pradesh
Siang ,Arunachal Pradesh
Tirap ,Arunachal Pradesh
West Siang ,Arunachal Pradesh
Kokrajhar ,Assam
Goalpara ,Assam
Barpeta ,Assam
Morigaon ,Assam
Lakhimpur ,Assam
Dhemaji ,Assam
Tinsukia ,Assam
Dibrugarh ,Assam
Golaghat ,Assam
Dima Hasao ,Assam
Cachar ,Assam
Karimganj ,Assam
Hailakandi ,Assam
Bongaigaon ,Assam
Chirang ,Assam
Kamrup ,Assam
Kamrup Metropolitan ,Assam
Nalbari ,Assam
Baksa ,Assam
Darrang ,Assam
Udalguri ,Assam
Biswanath ,Assam
Charaideo ,Assam
Dhubri ,Assam
Hojai ,Assam
Jorhat ,Assam
Karbi Anglong ,Assam
Majuli ,Assam
Nagaon ,Assam
Sivasagar ,Assam
Sonitpur ,Assam
South Salmara Mancachar ,Assam
West Karbi Anglong ,Assam
Pashchim Champaran ,Bihar
Purba Champaran ,Bihar
Sheohar ,Bihar
Sitamarhi ,Bihar
Madhubani ,Bihar
Supaul ,Bihar
Araria ,Bihar
Kishanganj ,Bihar
Purnia ,Bihar
Katihar ,Bihar
Madhepura ,Bihar
Saharsa ,Bihar
Darbhanga ,Bihar
Muzaffarpur ,Bihar
Gopalganj ,Bihar
Siwan ,Bihar
Saran ,Bihar
Vaishali ,Bihar
Samastipur ,Bihar
Begusarai ,Bihar
Khagaria ,Bihar
Bhagalpur ,Bihar
Banka ,Bihar
Munger ,Bihar
Lakhisarai ,Bihar
Sheikhpura ,Bihar
Nalanda ,Bihar
Patna ,Bihar
Bhojpur ,Bihar
Buxar ,Bihar
Kaimur (Bhabua) ,Bihar
Rohtas ,Bihar
Aurangabad ,Bihar
Gaya ,Bihar
Nawada ,Bihar
Jamui ,Bihar
Jehanabad ,Bihar
Arwal ,Bihar
Chandigarh,Chandigarh
Koriya ,Chhattisgarh
Jashpur ,Chhattisgarh
Raigarh ,Chhattisgarh
Korba ,Chhattisgarh
Janjgir - Champa ,Chhattisgarh
Kabeerdham ,Chhattisgarh
Rajnandgaon ,Chhattisgarh
Mahasamund ,Chhattisgarh
Dhamtari ,Chhattisgarh
Uttar Bastar Kanker ,Chhattisgarh
Narayanpur ,Chhattisgarh
Bijapur ,Chhattisgarh
Balod ,Chhattisgarh
Baloda Bazar ,Chhattisgarh
Balrampur ,Chhattisgarh
Bastar ,Chhattisgarh
Bemetara ,Chhattisgarh
Bilaspur ,Chhattisgarh
Dantewada ,Chhattisgarh
Durg ,Chhattisgarh
Gariyaband ,Chhattisgarh
Kodagaon ,Chhattisgarh
Mungeli ,Chhattisgarh
Raipur ,Chhattisgarh
Sukma ,Chhattisgarh
Surajpur ,Chhattisgarh
Surguja ,Chhattisgarh
Diu ,Dadra and Nagar Haveli & Daman and Diu
Daman ,Dadra and Nagar Haveli & Daman and Diu
Dadra & Nagar Haveli ,Dadra and Nagar Haveli & Daman and Diu
